Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Molecule name,oral,parenteral,topic,first_aproval,indication_class,ROMol,ROMol_H,ECFP6,MACCS,Fp2D,Fp3D
CHEMBL3908362,,None,356.38,0.0,3.72,7,O=S1(=O)c2ccccc2CN1c1cc(F)cc(Oc2cccnc2)c1,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0.0,CHEMBL3860590,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG424-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0dd0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8a50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3958418,,None,369.42,0.0,4.11,9,O=S1(=O)c2ccccc2CN1c1cc(F)cc(OCc2ccccc2)c1,IC50,'=',2454.71,nM,5.61,,,UO_0000065,,,,,0.0,CHEMBL3860590,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG424-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0eb0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8ac0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL1777866,,None,383.75,1.0,5.13,12,CC#CC(CC(=O)O)c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,IC50,'=',30.0,nM,7.52,,,UO_0000065,19.6,0.4,2.39,12.66,0.0,CHEMBL1780444,Inhibition of human GPR40 expressed in CHO cells by SPA based binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777807,1.0,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3308072,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0f20>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8b30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3739522,,None,442.4,0.0,3.84,45,N#CCC1(COc2cc(COc3ccc(F)c(F)c3F)nc(-c3ccccn3)n2)COC1,IC50,'=',398.11,nM,6.4,,,UO_0000065,,,,,0.0,CHEMBL3744105,Antagonist activity against human GPR40 expressed in HEK293s FLPIN cells assessed as elaidic acid stimulated IP1 release after 2 hrs by TR-FRET analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3739339,1.0,Scientific Literature,Medchemcomm,2015.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a0f90>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8ba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3894632,,None,343.38,0.0,4.42,16,O=S(=O)(Nc1ccc(Oc2ccccc2)cc1)c1ccc(F)cc1,IC50,'=',12882.5,nM,4.89,,,UO_0000065,,,,,0.0,CHEMBL3860590,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG424-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a1000>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8c10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL1777860,,None,362.35,1.0,5.39,6,CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2C)cc1,IC50,'=',40.0,nM,7.4,,,UO_0000065,20.42,0.39,2.01,15.9,0.0,CHEMBL1780444,Inhibition of human GPR40 expressed in CHO cells by SPA based binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777807,1.0,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3308072,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a1070>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8c80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL484771,,None,421.54,1.0,5.42,1,CCCN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(O[C@H]2CC[C@@H](C)CC2)cc1,IC50,'=',10.0,nM,8.0,,,UO_0000065,,,,,0.0,CHEMBL994680,Antagonist activity at human GPR40 expressed HEK293 cells assessed as effect on intracellular calcium concentration by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138453,1.0,Scientific Literature,Bioorg Med Chem Lett,2009.0,CHEMBL3307715,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a10e0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL485006,,None,429.52,1.0,5.87,9a,CCCN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(Oc2cc(C)cc(C)c2)cc1,IC50,'=',2.0,nM,8.7,,,UO_0000065,,,,,0.0,CHEMBL994680,Antagonist activity at human GPR40 expressed HEK293 cells assessed as effect on intracellular calcium concentration by FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138453,1.0,Scientific Literature,Bioorg Med Chem Lett,2009.0,CHEMBL3307715,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a1150>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8d60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL1777868,,None,307.31,0.0,2.72,14,CC#CC(CC(=O)O)c1ccc(Oc2nccnc2C#N)cc1,IC50,'=',2487.0,nM,5.6,,,UO_0000065,18.24,0.33,2.88,5.83,0.0,CHEMBL1780444,Inhibition of human GPR40 expressed in CHO cells by SPA based binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777807,1.0,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3308072,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a11c0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8dd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3904654,,None,337.4,0.0,4.19,23,O=S1(=O)c2ccccc2CN1c1cccc(Oc2ccccc2)c1,IC50,'=',173.78,nM,6.76,,,UO_0000065,,,,,0.0,CHEMBL3860590,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG424-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a1230>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8e40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3969073,,None,369.42,0.0,4.64,26,Cc1ccccc1Oc1cc(F)cc(N2Cc3ccccc3S2(=O)=O)c1,IC50,'=',44668.36,nM,4.35,,,UO_0000065,,,,,0.0,CHEMBL3860590,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG424-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a12a0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8eb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3979588,,None,380.4,0.0,4.2,31,N#Cc1ccc(Oc2cc(F)cc(N3Cc4ccccc4S3(=O)=O)c2)cc1,IC50,'=',616.6,nM,6.21,,,UO_0000065,,,,,0.0,CHEMBL3860590,Antagonist activity against human FFA1 expressed in human Flp-In T-REx293 cells assessed as as reduction in TUG424-induced response by Fura2-AM dye based calcium mobilization assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Flp-In T-REx293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3860043,1.0,Scientific Literature,J Med Chem,2016.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a1310>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8f20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL1777877,,None,455.33,0.0,4.84,24,CC#C[C@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O,IC50,'=',2414.0,nM,5.62,,,UO_0000065,12.34,0.24,0.78,7.61,0.0,CHEMBL1780444,Inhibition of human GPR40 expressed in CHO cells by SPA based binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1777807,1.0,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3308072,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a1380>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c8f90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
CHEMBL3740298,,None,295.32,0.0,3.57,18,Cc1cc(COc2ccccc2F)nc(-c2ccccn2)n1,IC50,'=',398.11,nM,6.4,,,UO_0000065,,,,,0.0,CHEMBL3744105,Antagonist activity against human GPR40 expressed in HEK293s FLPIN cells assessed as elaidic acid stimulated IP1 release after 2 hrs by TR-FRET analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3739339,1.0,Scientific Literature,Medchemcomm,2015.0,None,,,,,,,,<rdkit.Chem.rdchem.Mol object at 0x7d66a27a13f0>,<rdkit.Chem.rdchem.Mol object at 0x7d66a27c9000>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7d66a27a0d60>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66a27b6430>,<rdkit.DataStructs.cDataStructs.SparseBitVect object at 0x7d66ee84f970>
